placename,aint,arent,ent,innit,int,isnt,longitude,latitude
Axminster,0.09954580,0.0022710068,0.0000000000,0.11241484,0.0022710068,0.7834974, -2.9949370,50.78273
Wrexham,0.10798935,0.0000000000,0.0000000000,0.10599201,0.0015978695,0.7844208, -2.9924940,53.04304
Liverpool,0.04975380,0.0006493155,0.0004869866,0.10881446,0.0010551377,0.8392403, -2.9915726,53.40837
Weston-super-Mare,0.11663436,0.0000000000,0.0008076240,0.11975717,0.0008076240,0.7619932, -2.9772550,51.34741
Dundee,0.07338129,0.0000000000,0.0000000000,0.08741007,0.0021582734,0.8370504, -2.9707210,56.46202
Kirkwall,0.07845676,0.0000000000,0.0000000000,0.08259969,0.0077679959,0.8311756, -2.9622491,58.98467
Ambleside,0.08161648,0.0000000000,0.0015847861,0.06458003,0.0031695721,0.8490491, -2.9613330,54.42874
Orkney Islands,0.07845676,0.0000000000,0.0000000000,0.08259969,0.0077679959,0.8311756, -2.9605206,58.98094
Lyme Regis,0.12115564,0.0027958993,0.0000000000,0.10251631,0.0055917987,0.7679404, -2.9366390,50.72516
Carlisle,0.06592654,0.0032894737,0.0000000000,0.06962719,0.0161732456,0.8449836, -2.9329310,54.89247
Chester,0.09355356,0.0000000000,0.0000000000,0.09762110,0.0014791076,0.8073462, -2.8930750,53.19339
Forfar,0.07347876,0.0000000000,0.0000000000,0.07845388,0.0000000000,0.8480674, -2.8890620,56.64356
Morecambe,0.10060601,0.0000000000,0.0011882600,0.09668475,0.0044559750,0.7970650, -2.8649680,54.07417
Selkirk,0.08355438,0.0000000000,0.0000000000,0.10079576,0.0053050398,0.8103448, -2.8385240,55.55066
Galashiels,0.06745685,0.0004772890,0.0004772890,0.08957124,0.0040569565,0.8379604, -2.8144490,55.62373
Lancaster,0.08133656,0.0000000000,0.0016487140,0.09122884,0.0016487140,0.8241372, -2.8007399,54.04657
St Andrews,0.06962025,0.0000000000,0.0000000000,0.07770745,0.0021097046,0.8505626, -2.7967214,56.33978
Hawick,0.07331166,0.0021668472,0.0000000000,0.08649332,0.0162513543,0.8217768, -2.7809140,55.42706
