placename,control,doubled,longitude,latitude
Bishop's Stortford,0.9833795,0.0166204986,  0.1536502,51.87216
Wisbech,0.9839744,0.0160256410,  0.1587970,52.66632
Sevenoaks,0.9889908,0.0110091743,  0.1908980,51.27241
Tunbridge Wells,0.9923793,0.0076206605,  0.2636950,51.13238
Eastbourne,0.9909335,0.0090664876,  0.2904720,50.76803
Brentwood,0.9840464,0.0159535896,  0.3071749,51.62047
Skegness,0.9861496,0.0138504155,  0.3378810,53.14640
Downham Market,0.9824305,0.0175695461,  0.3854720,52.60661
King's Lynn,0.9876325,0.0123674912,  0.4022963,52.75168
Bexhill,0.9947399,0.0052600818,  0.4662071,50.84991
Chelmsford,0.9821652,0.0178347935,  0.4685497,51.73559
Mildenhall,0.9765083,0.0234917245,  0.5156095,52.34757
Medway,0.9871041,0.0128959276,  0.5417861,51.40474
Braintree,0.9917526,0.0082474227,  0.5509269,51.88009
Gillingham,0.9888331,0.0111669458,  0.5514380,51.38632
Hastings,0.9937634,0.0062366461,  0.5734530,50.85426
Maldon,0.9861601,0.0138398915,  0.6714480,51.73181
Southend,0.9843793,0.0156207180,  0.7077123,51.54593
Bury St Edmunds,0.9746085,0.0253914515,  0.7104932,52.24292
Thetford,0.9862888,0.0137111517,  0.7516570,52.41286
Ashford,0.9839972,0.0160028450,  0.8750190,51.14647
Faversham,0.9847450,0.0152550453,  0.8893580,51.31599
