placename,preposition_drop_determiner,preposition_drop_no_determiner,preposition_retained,longitude,latitude
Ringwood,0.009236453,0.104577176,0.8861864, -1.7888170,50.84495
Huddersfield,0.027091255,0.103374525,0.8695342, -1.7850351,53.64579
Peterhead,0.006247831,0.017702187,0.9760500, -1.7840660,57.50812
Swindon,0.007622505,0.099727768,0.8926497, -1.7797176,51.55577
Bradford,0.024171889,0.085198448,0.8906297, -1.7593980,53.79598
Ashbourne,0.052963469,0.159822316,0.7872142, -1.7321790,53.01663
Marlborough,0.008752084,0.100023815,0.8912241, -1.7270620,51.42007
Stratford-upon-Avon,0.079385774,0.175720701,0.7448935, -1.7082980,52.19173
Alnwick,0.019246587,0.042687942,0.9380655, -1.7062990,55.41274
Otley,0.026307293,0.095423727,0.8782690, -1.6917860,53.90583
Bishop Auckland,0.033380641,0.036758445,0.9298609, -1.6787880,54.66382
Burton upon Trent,0.062858870,0.187972197,0.7491689, -1.6371359,52.81403
Newcastle,0.025071035,0.052398462,0.9225305, -1.6177800,54.97825
Durham,0.020084567,0.033826638,0.9460888, -1.5848520,54.77525
Ashington,0.020140665,0.043877877,0.9359815, -1.5659829,55.18298
Darlington,0.073787772,0.042589784,0.8836224, -1.5594580,54.52361
Leeds,0.029461569,0.101532277,0.8690062, -1.5490774,53.80076
Harrogate,0.028746672,0.095181952,0.8760714, -1.5418120,53.99212
Leamington Spa,0.073950599,0.188816487,0.7372329, -1.5200789,52.28519
Coventry,0.118913391,0.191677374,0.6894092, -1.5196930,52.40682
Blyth,0.021552397,0.041933469,0.9365141, -1.5102770,55.12696
Wakefield,0.030976812,0.103578715,0.8654445, -1.5059240,53.68330
Andover,0.013168014,0.080096040,0.9067359, -1.4919233,51.21120
Witney,0.017043349,0.090033346,0.8929233, -1.4850544,51.78594
Barnsley,0.016303030,0.121939394,0.8617576, -1.4797260,53.55263
Derby,0.036274852,0.183292640,0.7804325, -1.4746186,52.92253
Sheffield,0.025374242,0.116919499,0.8577063, -1.4700850,53.38113
Nuneaton,0.140716126,0.214973552,0.6443103, -1.4653820,52.52049
Northallerton,0.054968179,0.046884623,0.8981472, -1.4299590,54.33796
South Shields,0.020987827,0.044913950,0.9340982, -1.4274060,54.99942
Chesterfield,0.025897561,0.123061372,0.8510411, -1.4216290,53.23505
Southampton,0.010220997,0.109042285,0.8807367, -1.4043509,50.90970
Wetherby,0.029222834,0.097970562,0.8728066, -1.3848160,53.92706
