placename,a load of,a lot of,bare,loads of,lots of,longitude,latitude
Dorchester,0.014696108,0.4930950,0.0075326785,0.11675652,0.3679197, -2.4411810,50.71116
Alston,0.014586537,0.5493842,0.0040706615,0.16209956,0.2698590, -2.4386850,54.81217
Kelso,0.006303865,0.5457874,0.0005730787,0.11873872,0.3285969, -2.4322070,55.60003
Wincanton,0.021480101,0.4663208,0.0042149631,0.10958904,0.3983951, -2.4160070,51.05569
Clitheroe,0.010627035,0.5227474,0.0132739168,0.14392718,0.3094245, -2.3930830,53.87110
Sark,0.010045568,0.4986537,0.0077671914,0.12608741,0.3574461, -2.3666256,49.43007
Bath,0.017245191,0.4843688,0.0138845899,0.11956666,0.3649348, -2.3590167,51.38106
Kidderminster,0.017191662,0.5449268,0.0287393870,0.12914535,0.2799968, -2.2496839,52.38860
Manchester,0.019219950,0.5497491,0.0244281537,0.13797147,0.2686313, -2.2426305,53.48076
Burnley,0.014803480,0.5448013,0.0141381547,0.14020060,0.2860565, -2.2405035,53.78929
Gloucester,0.013657056,0.5096320,0.0134255806,0.11110825,0.3521772, -2.2381560,51.86424
Newcastle-under-Lyme,0.011421144,0.5345676,0.0078814192,0.11932745,0.3268024, -2.2273002,53.01321
