,variant,theme,goal,theme_type,goal_type,goal_det,goal_noun,theme_det,theme_noun,verb_form,verb_stem,verb_tag,latitude,longitude,weight
837,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,52.34822963378566,-3.382348574326532,1.0
838,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,52.406822,-1.519693,1.0
839,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,52.41191266935471,-1.5186510779627418,0.5
840,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,52.4750743,-1.8298330000000005,0.5
841,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,52.486243,-1.890401,2.25
842,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,52.49396616659272,-1.890640074770749,1.0
843,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,52.51487266574419,-2.009332573787036,1.0
844,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,52.586973,-2.12882,1.0
845,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,52.6139686,0.8864021000000001,2.0
846,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,52.62626317016146,-1.130669579608375,1.0
847,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,52.6308859,1.297355,2.0
848,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,52.63687779999999,-1.1397592,3.0
849,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,52.67669077668554,-0.9438017875475908,1.0
850,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,52.772099,-1.206166,1.0
851,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,52.80160516381031,-2.002351072228771,1.0
852,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,52.804157663182046,-2.104832571471225,1.0
853,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,52.85897361811697,-9.110049024189893,1.0
854,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,52.86795400000001,-1.2066808999999998,2.0
855,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,52.885947148522604,-4.417246054661791,1.0
856,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,52.9155296661778,-1.470778075459931,0.5
857,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,52.95478320000001,-1.1581086,0.5
858,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,52.96971866756354,-1.172265577340935,1.0
