index,userid,negation,participial_form,verb_stem,variant,latitude,longitude
2411,2959816,affirmative,standing,stand,present participle,51.5742447,0.4856781
2412,1671150,affirmative,standing,stand,present participle,51.5073509,-0.12775830000000002
2413,1671150,affirmative,standing,stand,present participle,51.5073509,-0.12775830000000002
2414,1942015,affirmative,sitting,sit,present participle,53.35490213361106,-6.247621039910087
2415,2126411,affirmative,standing,stand,present participle,50.8288688,-0.1410116
2416,2735847,affirmative,sat,sit,past participle,54.4429264,-6.4175653
2417,5734648,affirmative,sat,sit,past participle,53.801955659532176,-1.565489569728704
2418,5436890,affirmative,stood,stand,past participle,51.5073509,-0.12775830000000002
2419,5436890,affirmative,stood,stand,past participle,51.5073509,-0.12775830000000002
2420,5436890,affirmative,stood,stand,past participle,51.5073509,-0.12775830000000002
2421,879572,affirmative,stood,stand,past participle,51.7520209,-1.2577263
2422,1047312,affirmative,sitting,sit,present participle,55.7643524,-4.1769987
2423,5732380,affirmative,stood,stand,past participle,53.248236,-3.13577
2424,1125032,affirmative,sitting,sit,present participle,52.2052973,0.1218195
2425,1125032,affirmative,sitting,sit,present participle,52.5694985,-0.2405299
2426,4570268,affirmative,sitting,sit,present participle,51.4089104,-0.21603520000000004
2427,4429398,affirmative,sat,sit,past participle,54.97825200000001,-1.61778
2428,6379007,affirmative,standing,stand,present participle,51.607800137085285,-0.32211594306190194
2429,3062517,affirmative,stood,stand,past participle,53.40837140000001,-2.9915726
2430,3062517,affirmative,stood,stand,past participle,53.42536800000001,-2.968201
2431,2904306,affirmative,sitting,sit,present participle,52.4750743,-1.8298330000000005
2432,5222936,affirmative,standing,stand,present participle,55.070859,-3.60512
2433,4817900,affirmative,sitting,sit,present participle,52.1872472,0.9707801
2434,4817900,affirmative,sitting,sit,present participle,52.2429228,0.7104931999999999
2435,2342094,affirmative,stood,stand,past participle,51.5073509,-0.12775830000000002
2436,3272636,affirmative,sitting,sit,present participle,53.58069765663185,-2.304757565680267
2437,561516,affirmative,standing,stand,present participle,54.77525,-1.584852
2438,3331305,affirmative,sitting,sit,present participle,52.486243,-1.890401
2439,2914284,affirmative,sat,sit,past participle,53.5409298,-2.1113659
2440,2914284,affirmative,sat,sit,past participle,53.5409298,-2.1113659
2441,6377425,affirmative,stood,stand,past participle,50.2660471,-5.0527125
