,userid,construction_type,verb,theme,preposition,goal,theme_type,goal_type,tag,latitude,longitude
1026,1060841,it+pronominal_object,stick,it,to,them,pronominal,pronominal,prepositional_dative,53.54606465559795,-2.5159090643716784
1027,5025681,it+pronominal_object,sock,it,to,him,pronominal,pronominal,prepositional_dative,51.3147593,-0.5599501
3351,6133087,it+pronominal_object,give,it,to,you,pronominal,pronominal,prepositional_dative,51.5073509,-0.12775830000000002
3349,6041612,it+pronominal_object,explained,it,to,me,pronominal,pronominal,prepositional_dative,53.4807593,-2.2426305
1030,1131899,it+pronominal_object,give,it,to,ya,pronominal,pronominal,prepositional_dative,51.544821184222144,0.024996405492847
3348,6041612,it+pronominal_object,explained,it,to,me,pronominal,pronominal,prepositional_dative,53.4807593,-2.2426305
1032,2127828,it+pronominal_object,give,it,to,me,pronominal,pronominal,prepositional_dative,51.68687115861101,-4.140761062988327
455,720281,it+pronominal_object,send,it,to,me,pronominal,pronominal,prepositional_dative,54.999424,-1.427406
3347,1933089,it+pronominal_object,give,it,to,me,pronominal,pronominal,prepositional_dative,51.5073509,-0.12775830000000002
1035,5174401,it+pronominal_object,give,it,to,ya,pronominal,pronominal,prepositional_dative,53.381129,-1.470085
1036,2408297,it+pronominal_object,said,it,to,you,pronominal,pronominal,prepositional_dative,52.97894,-0.026577
1037,4704137,it+pronominal_object,sent,it,to,you,pronominal,pronominal,prepositional_dative,54.574227,-1.234956
3346,1933089,it+pronominal_object,give,it,to,me,pronominal,pronominal,prepositional_dative,51.5073509,-0.12775830000000002
3344,135390,it+pronominal_object,give,it,to,you,pronominal,pronominal,prepositional_dative,51.105097,-2.9262307
3342,6390526,it+pronominal_object,leave,it,to,me,pronominal,pronominal,prepositional_dative,51.1277261858565,-0.186832095288607
1041,1262334,it+pronominal_object,give,it,to,them,pronominal,pronominal,prepositional_dative,53.34980529999999,-6.260309700000001
1042,1678640,it+pronominal_object,give,it,to,us,pronominal,pronominal,prepositional_dative,51.8985143,-8.4756035
1043,1678640,it+pronominal_object,give,it,to,us,pronominal,pronominal,prepositional_dative,51.3689461,-0.3824197
1044,1678640,it+pronominal_object,give,it,to,me,pronominal,pronominal,prepositional_dative,51.8985143,-8.4756035
1045,1678640,it+pronominal_object,give,it,to,me,pronominal,pronominal,prepositional_dative,51.3689461,-0.3824197
1046,6104203,it+pronominal_object,give,it,to,me,pronominal,pronominal,prepositional_dative,52.9155296661778,-1.470778075459931
3341,4915457,it+pronominal_object,give,it,to,her,pronominal,pronominal,prepositional_dative,54.597285,-5.93012
27,4140465,it+pronominal_object,give,it,to,him,pronominal,pronominal,prepositional_dative,53.45030506258214,-2.233864478048687
1049,3444897,it+pronominal_object,dmed,it,to,you,pronominal,pronominal,prepositional_dative,52.486243,-1.890401
454,1907963,it+pronominal_object,sent,it,to,them,pronominal,pronominal,prepositional_dative,51.5073509,-0.12775830000000002
3339,6306172,it+pronominal_object,give,it,to,you,pronominal,pronominal,prepositional_dative,53.4807593,-2.2426305
3338,1687757,it+pronominal_object,stick,it,to,them,pronominal,pronominal,prepositional_dative,51.5073509,-0.12775830000000002
1053,2353687,it+pronominal_object,leave,it,to,you,pronominal,pronominal,prepositional_dative,51.7520209,-1.2577263
1054,2353687,it+pronominal_object,leave,it,to,you,pronominal,pronominal,prepositional_dative,51.7520209,-1.2577263
28,2972170,it+pronominal_object,send,it,to,you,pronominal,pronominal,prepositional_dative,51.4922655,-0.0652005
1056,3563718,it+pronominal_object,sock,it,to,them,pronominal,pronominal,prepositional_dative,52.0765164,-2.6544182000000003
1057,3319494,it+pronominal_object,give,it,to,me,pronominal,pronominal,prepositional_dative,51.5742447,0.4856781
3334,2026830,it+pronominal_object,sing,it,to,you,pronominal,pronominal,prepositional_dative,53.4807593,-2.2426305
3332,4897232,it+pronominal_object,get,it,to,you,pronominal,pronominal,prepositional_dative,51.5073509,-0.12775830000000002
1060,3059,it+pronominal_object,mailed,it,to,you,pronominal,pronominal,prepositional_dative,51.5459269,0.7077123000000001
3331,3823043,it+pronominal_object,say,it,to,her,pronominal,pronominal,prepositional_dative,52.40443565445794,-4.001616560131069
1062,1413357,it+pronominal_object,message,it,to,you,pronominal,pronominal,prepositional_dative,51.376165,-0.098234
1063,5589120,it+pronominal_object,send,it,to,you,pronominal,pronominal,prepositional_dative,50.7155591,-3.530875
3330,1477219,it+pronominal_object,give,it,to,me,pronominal,pronominal,prepositional_dative,53.4807593,-2.2426305
3329,368595,it+pronominal_object,leave,it,to,me,pronominal,pronominal,prepositional_dative,53.230688,-0.540579
1066,500858,it+pronominal_object,lend,it,to,you,pronominal,pronominal,prepositional_dative,52.486243,-1.890401
1067,5000580,it+pronominal_object,give,it,to,me,pronominal,pronominal,prepositional_dative,50.40221466757534,-4.142929569798644
30,3895166,it+pronominal_object,give,it,to,me,pronominal,pronominal,prepositional_dative,52.86795400000001,-1.2066808999999998
1069,3886121,it+pronominal_object,sock,it,to,them,pronominal,pronominal,prepositional_dative,53.2735021332017,-6.39952053933045
1070,5835306,it+pronominal_object,sending,it,to,you,pronominal,pronominal,prepositional_dative,51.1277261858565,-0.186832095288607
1071,5104942,it+pronominal_object,give,it,to,me,pronominal,pronominal,prepositional_dative,51.5073509,-0.12775830000000002
1072,5993936,it+pronominal_object,forwarded,it,to,you,pronominal,pronominal,prepositional_dative,51.5557739,-1.7797176
449,4666996,it+pronominal_object,give,it,to,me,pronominal,pronominal,prepositional_dative,51.45252367906998,-0.9820300873965708
3327,1152485,it+pronominal_object,stick,it,to,them,pronominal,pronominal,prepositional_dative,53.381129,-1.470085
1075,1584814,it+pronominal_object,get,it,to,you,pronominal,pronominal,prepositional_dative,51.5073509,-0.12775830000000002
1076,1584814,it+pronominal_object,get,it,to,you,pronominal,pronominal,prepositional_dative,53.52282,-1.128462
1077,2353128,it+pronominal_object,send,it,to,me,pronominal,pronominal,prepositional_dative,51.83523067321071,-1.536868581083152
3326,366173,it+pronominal_object,leave,it,to,me,pronominal,pronominal,prepositional_dative,52.95478320000001,-1.1581086
1079,2451970,it+pronominal_object,give,it,to,you,pronominal,pronominal,prepositional_dative,53.34980529999999,-6.260309700000001
1080,2594236,it+pronominal_object,bring,it,to,me,pronominal,pronominal,prepositional_dative,52.8140281,-1.6371359
1081,2594236,it+pronominal_object,bring,it,to,me,pronominal,pronominal,prepositional_dative,52.8140281,-1.6371359
1082,1653270,it+pronominal_object,said,it,to,you,pronominal,pronominal,prepositional_dative,53.4807593,-2.2426305
1083,3947122,it+pronominal_object,give,it,to,me,pronominal,pronominal,prepositional_dative,51.068785,-1.794472
1084,1243180,it+pronominal_object,credit,it,to,you,pronominal,pronominal,prepositional_dative,51.895927,0.891874
1085,2852023,it+pronominal_object,sock,it,to,them,pronominal,pronominal,prepositional_dative,51.280233,1.0789089
1086,6678,it+pronominal_object,give,it,to,him,pronominal,pronominal,prepositional_dative,53.90925210843049,-9.4203370174674
3325,5604053,it+pronominal_object,send,it,to,us,pronominal,pronominal,prepositional_dative,51.5073509,-0.12775830000000002
1088,4540915,it+pronominal_object,stick,it,to,them,pronominal,pronominal,prepositional_dative,55.955141133533886,-3.40475804485026
1089,3674228,it+pronominal_object,sock,it,to,me,pronominal,pronominal,prepositional_dative,52.486243,-1.890401
448,1901512,it+pronominal_object,give,it,to,him,pronominal,pronominal,prepositional_dative,51.5073509,-0.12775830000000002
1091,577036,it+pronominal_object,put,it,to,her,pronominal,pronominal,prepositional_dative,51.446729429161074,0.270874227067542
1092,6550980,it+pronominal_object,dm,it,to,you,pronominal,pronominal,prepositional_dative,51.5073509,-0.12775830000000002
1093,6289750,it+pronominal_object,mentioned,it,to,him,pronominal,pronominal,prepositional_dative,50.82253,-0.137163
