,placename,shiver,sliver,speel,spelk,spell,spile,spill,splint,splinter,spool,longitude,latitude
136,Tywyn,0.026471504312220014,0.054655870554655865,0.0856950077188484,0.01,0.01,0.1700404870202429,0.01,0.08367071494286997,0.9676113000000002,0.01,-4.087249,52.58701
137,Aberystwyth,0.02625888008079656,0.05421686405421687,0.1700133989234718,0.01,0.01,0.281124495686747,0.01,0.08299866594600623,0.9437751,0.10843372810843374,-4.08292,52.4153
138,Lampeter,0.028062063547883275,0.1158798286158798,0.09084405343872187,0.010105921915509412,0.011427683670430623,0.2403433494420601,0.01,0.01,0.9527897,0.01,-4.078509,52.1129
139,Barnstaple,0.01,0.16804979566804978,0.01,0.01,0.01104834382719881,0.11618257069709542,0.01,0.04287690579990777,0.966805,0.11203320611203317,-4.058338,51.07816
140,Tain,0.02724359200690336,0.28124999578125,0.17638888365601846,0.029433497534770925,0.011094378393446677,0.01,0.01,0.08611110726481483,0.925,0.11250000911250001,-4.05523,57.8115
141,Okehampton,0.01,0.2710843337710843,0.01,0.01,0.010693375224921751,0.11244980667469884,0.01,0.041499327806336465,0.9558233,0.2168674832168675,-4.004263,50.73831
142,Llandeilo,0.028931247396711532,0.11946903311946905,0.09365782313446418,0.01,0.011781640465479146,0.3097345178584071,0.01,0.01,0.9513274,0.01,-3.99143,51.88469
143,Motherwell,0.05944055902904787,0.2454545432454545,0.3848484849767677,0.05351544952806536,0.02420591431626044,0.06363637038181823,0.01,0.42272727169393937,0.8545455,0.01,-3.9810968,55.78321
144,Golspie,0.027130548545017074,0.280082988280083,0.17565698264845547,0.02931136735744005,0.02209668499174702,0.01,0.01,0.08575380126648224,0.9211618,0.11203320611203317,-3.976086,57.97341
145,Airdrie,0.08997882950762719,0.18577981818577985,0.4854740150165648,0.04320513434163508,0.02442798736437026,0.0642201843853211,0.01,0.42660550600917424,0.8577982,0.01,-3.962566,55.86626999999999
146,Swansea,0.028428093164394132,0.1173913021173913,0.09202898461763284,0.01,0.011576741513748445,0.18260869309565214,0.01,0.01,0.9608696,0.01,-3.943646,51.62144
147,Stirling,0.08756868065405747,0.2410714307410714,0.5669642855252975,0.036791871918463656,0.01,0.01,0.01,0.3690476202777777,0.875,0.01,-3.9369029,56.11652
148,Tregaron,0.027823239700994592,0.1148936131148936,0.09007091976406617,0.01,0.011330427694563334,0.23829787942978725,0.01,0.01,0.9531915,0.1148936131148936,-3.934385,52.22
149,Tregaron,0.027823239700994592,0.1148936131148936,0.09007091976406617,0.01,0.011330427694563334,0.23829787942978725,0.01,0.01,0.9531915,0.1148936131148936,-3.934385,52.22
150,Castle Douglas,0.01,0.01,0.16219667584269898,0.1443481871617477,0.561094953392844,0.16091954296551728,0.01,0.0791826279638144,0.6398467,0.01,-3.931414,54.94042
151,Dolgellau,0.026471504312220014,0.01,0.0856950077188484,0.01,0.010779961959829169,0.056680162340080976,0.01,0.08367071494286997,0.9757085,0.01,-3.8844,52.74215
152,Aberfeldy,0.028183025086717006,0.3491379318491379,0.3649425259377394,0.02537370460896253,0.011476942706556805,0.01,0.01,0.17816091550191568,0.9051724,0.11637931511637932,-3.866969,56.62175
153,Machynlleth,0.024038464304733737,0.0992647035992647,0.15563725277491827,0.01,0.01,0.2058823492352941,0.01,0.07598038997875818,0.9522059000000002,0.09926471709926472,-3.853485,52.59027
154,Brora,0.027130548545017074,0.2240663852240664,0.17565698264845547,0.02931136735744005,0.02209668499174702,0.01,0.01,0.08575380126648224,0.9253112,0.11203320611203317,-3.852548000000001,58.01216
155,Llandudno,0.01,0.01,0.01,0.010465243698734096,0.011834001489555976,0.01,0.01,0.1377777736903704,0.9733333,0.01,-3.827609,53.32406
156,Llandudno,0.01,0.01,0.01,0.010465243698734096,0.011834001489555976,0.01,0.01,0.1377777736903704,0.9733333,0.01,-3.827609,53.32406
157,Aviemore,0.02679697585168301,0.2766393407766393,0.17349726295947174,0.028950981258944505,0.010912503381466414,0.01,0.01,0.12704918007377047,0.9221311,0.11065574711065576,-3.823812,57.19449
