index,placename,longitude,latitude,her,hersel,herself,herseln,herselve,hersen
163,Totnes,-3.685797,50.43374,0.01,0.01261045962605079,0.20197067286057668,0.01,0.01,0.03786763220176755
164,Grantown-on-Spey,-3.609628,57.33041,0.01,0.1874571106604471,0.06590017763980445,0.01,0.01,0.01
165,Dumfries,-3.60512,55.070859999999996,0.01,0.45293500223788663,0.13267709024061872,0.01,0.01,0.01
166,Whitehaven,-3.589233,54.5497,0.01,0.24370595248869314,0.15189399604313583,0.01,0.01,0.06457222649832602
167,Dartmouth,-3.578807,50.35252,0.01,0.010844974611363693,0.16730509497939844,0.01,0.01,0.032566101632985255
168,Bridgend,-3.576945,51.504290000000005,0.01,0.01,0.35875995288309975,0.01,0.01,0.01
169,Paignton,-3.564235,50.43508,0.01,0.016933689221786414,0.2868579706866358,0.01,0.01,0.05084974967486253
170,Workington,-3.5427519999999997,54.64357,0.01,0.28367130302962146,0.13514077550096767,0.01,0.01,0.06388721458797017
171,Llanidloes,-3.5401949999999998,52.447790000000005,0.01,0.01,0.14166461333740563,0.01,0.01,0.013836904968896861
172,Exeter,-3.533899,50.71841,0.01,0.02540169366086402,0.45312857901181286,0.01,0.01,0.07627810733119227
173,Torquay,-3.525315,50.46192,0.01,0.01727977448522942,0.29365340964737824,0.01,0.01,0.05188900041235652
174,Thurso,-3.5220800000000003,58.59356999999999,0.01,0.2957506832056484,0.08758889121514976,0.01,0.01,0.01
175,Livingston,-3.518068,55.90071,0.01,0.5613689826433431,0.17536617870265075,0.01,0.01,0.01
176,Rhyl,-3.4916339999999995,53.319140000000004,0.01,0.014713753868966752,0.24326919333651933,0.01,0.01,0.01
177,Tiverton,-3.491207,50.90205,0.01,0.013169611491805488,0.2129497083032315,0.01,0.01,0.039546695283147235
178,Tiverton,-3.491207,50.90205,0.01,0.013169611491805488,0.2129497083032315,0.01,0.01,0.039546695283147235
179,Minehead,-3.481152,51.20428,0.01,0.010921806200845284,0.17633829821798128,0.01,0.01,0.01
180,Dunfermline,-3.452151,56.071740000000005,0.01,0.48017975263137175,0.18593716384893666,0.01,0.01,0.01
181,Perth,-3.4308381000000003,56.39499,0.01,0.3006954261679005,0.1332775165826883,0.01,0.01,0.01
182,Prestatyn,-3.4076129999999996,53.33651,0.01,0.013000904589697904,0.2096371258867596,0.01,0.01,0.01
183,Builth Wells,-3.4045919999999996,52.15002,0.01,0.01,0.1937454885184752,0.01,0.01,0.01
184,Braemar,-3.3979439,57.00646999999999,0.01,0.0662421100127698,0.01208056670972447,0.01,0.01,0.01
185,Brecon,-3.391463,51.94895,0.01,0.01,0.22655957185306105,0.01,0.01,0.01
186,Merthyr Tydfil,-3.381646,51.74873,0.01,0.01,0.4059693301768435,0.01,0.01,0.01
187,Llandrindod Wells,-3.377742,52.2417,0.01,0.01,0.16683334660084462,0.01,0.01,0.015696237967730856
188,Corwen,-3.369242,52.98005,0.01,0.01,0.1314586528238781,0.01,0.01,0.01
189,Cockermouth,-3.367985,54.66326,0.01,0.21653175346675574,0.10354248087191895,0.01,0.01,0.05133298709383278
190,Lockerbie,-3.349008,55.122240000000005,0.01,0.4118025412220842,0.11648375988053246,0.01,0.01,0.01
191,Blairgowrie,-3.3378318,56.58941,0.01,0.22663547942005788,0.11050348853814583,0.01,0.01,0.01
192,Elgin,-3.318485,57.64945,0.01,0.3902049997997918,0.18653614069946964,0.01,0.01,0.01
193,Newtown,-3.313106,52.51211,0.01,0.01,0.1500008172990887,0.01,0.01,0.01445273966143912
194,Ruthin,-3.3103108,53.114869999999996,0.01,0.012737101114102827,0.20445730277442947,0.01,0.01,0.01
195,Ruthin,-3.3103108,53.114869999999996,0.01,0.012737101114102827,0.20445730277442947,0.01,0.01,0.01
196,Sidmouth,-3.2375599999999998,50.67865,0.01,0.012320339117095595,0.19627411071790912,0.01,0.01,0.03699643661864942
197,Barrow-in-Furness,-3.2188939999999997,54.10896999999999,0.01,0.20270362759402977,0.21621216346461997,0.01,0.01,0.07608671258249271
198,Peebles,-3.1936419999999996,55.65306999999999,0.01,0.336483760537247,0.08683170727225609,0.01,0.01,0.01
199,Edinburgh,-3.1882669999999997,55.95325,0.01,0.8326944720482548,0.32946556053134385,0.01,0.01,0.01
200,Cardiff,-3.17909,51.48158,0.01,0.01,0.5792769874486636,0.01,0.01,0.01
201,Llangollen,-3.1716599999999997,52.96921,0.01,0.01037446021339094,0.1616402161554623,0.01,0.01,0.01
202,Kirkcaldy,-3.158137,56.11682,0.01,0.3989924928693247,0.25095094610740754,0.01,0.01,0.01
203,Welshpool,-3.146407,52.66035,0.01,0.01,0.19925901059625586,0.01,0.01,0.03680718660469204
204,Mold,-3.1419029999999997,53.1672,0.01,0.01704274537559739,0.2889993112102619,0.01,0.01,0.01
205,Mold,-3.1419029999999997,53.1672,0.01,0.01704274537559739,0.2889993112102619,0.01,0.01,0.01
206,Taunton,-3.106849,51.01534,0.01,0.017949278488601544,0.30679922678974036,0.01,0.01,0.05389943715368934
207,Wick,-3.093716,58.43894,0.01,0.2618196077169922,0.08964834210309142,0.01,0.01,0.01
208,John o' Groats,-3.0688997000000002,58.63734,0.01,0.10131146241372951,0.01,0.01,0.01,0.01
209,Dalkeith,-3.066606,55.893119999999996,0.01,0.4995383829508797,0.15102425258260546,0.01,0.01,0.01
210,Oswestry,-3.056412,52.85715,0.01,0.01,0.25526539063528864,0.01,0.01,0.022612383298248787
211,Blackpool,-3.0356748,53.81751,0.01,0.18246484912434477,0.3550619519331408,0.01,0.01,0.03424495532678569
212,Birkenhead,-3.023009,53.389990000000004,0.2133275945587828,0.02312654131952779,0.4004890511330093,0.01,0.01,0.01
213,Cupar,-3.010137,56.32023,0.01,0.1859463340079502,0.13051116853414504,0.01,0.01,0.01
214,Southport,-3.010113,53.64571,0.18069411372021985,0.07835518427962788,0.31199991156220813,0.01,0.01,0.02941135083289502
215,Bridgwater,-3.003632,51.12789,0.01,0.01,0.3643838614911733,0.01,0.01,0.06162491978869078
216,Langholm,-2.998913,55.153059999999996,0.01,0.20367404772400205,0.059603676250477355,0.01,0.01,0.01
217,Newport,-2.997664,51.58415,0.01,0.01,0.4123211134218575,0.01,0.01,0.01
218,Axminster,-2.9949369999999997,50.78273,0.01,0.01299166126657265,0.2094556274469998,0.01,0.01,0.039012333025215076
219,Wrexham,-2.9924939999999998,53.043040000000005,0.01,0.019420018929447683,0.33567744761957474,0.01,0.01,0.029157941663572374
220,Liverpool,-2.9915726,53.40837,0.31448524836075575,0.03409289879089177,0.6120375638775146,0.01,0.01,0.01
221,Weston-super-Mare,-2.977255,51.347409999999996,0.01,0.01,0.340116460630666,0.01,0.01,0.01
222,Dundee,-2.9707209999999997,56.462019999999995,0.01,0.36359214089210645,0.2987968618083832,0.01,0.01,0.01
223,Kirkwall,-2.9622491,58.984669999999994,0.01,0.31880064329529656,0.07987008736857396,0.01,0.01,0.01
224,Ambleside,-2.961333,54.428740000000005,0.01,0.23016882018642096,0.17108212009276094,0.01,0.01,0.09215577086860004
225,Orkney Islands,-2.9605206,58.980940000000004,0.01,0.32622921311703296,0.08279462147753791,0.01,0.01,0.01
226,Lyme Regis,-2.936639,50.725159999999995,0.01,0.01197389258797697,0.18947157824840863,0.01,0.01,0.03595610104553982
227,Carlisle,-2.932931,54.892469999999996,0.01,0.5835537464091791,0.18516367010719473,0.7044255757591577,0.01,0.03245073029845217
228,Chester,-2.893075,53.19339,0.21829371093304017,0.023664910937224858,0.41087456813152423,0.01,0.01,0.01
229,Forfar,-2.889062,56.64356,0.01,0.2594955845755793,0.14725676692623077,0.01,0.01,0.01
230,Morecambe,-2.864968,54.074169999999995,0.01,0.1330491962667772,0.19370883723114668,0.01,0.01,0.08878447882646703
231,Selkirk,-2.838524,55.55066,0.01,0.3635481822591816,0.11812958020306792,0.01,0.01,0.01
232,Galashiels,-2.814449,55.62373,0.01,0.3473875523709245,0.11084971327351643,0.01,0.01,0.01
233,Lancaster,-2.8007399,54.046569999999996,0.01,0.17365348885399545,0.26675322280720126,0.01,0.01,0.11587995220493902
234,St Andrews,-2.7967214,56.339780000000005,0.01,0.27180661896986785,0.172834598124992,0.01,0.01,0.01
235,Hawick,-2.780914,55.42706,0.01,0.2800633795549556,0.10956161539808947,0.01,0.01,0.01
236,Bridport,-2.758301,50.733579999999996,0.01,0.01,0.20205678016402856,0.01,0.01,0.03722768235846251
237,Shrewsbury,-2.7553267999999997,52.7073,0.01,0.01,0.3909000277675854,0.01,0.01,0.06561021416530358
238,Penrith,-2.752708,54.6641,0.01,0.4039039082779823,0.18625460830775228,0.6268689789605365,0.01,0.08663378843813753
239,Kendal,-2.74629,54.32801,0.01,0.22513261109149044,0.19895216319531725,0.01,0.01,0.1560104165569211
240,Street,-2.7429189999999997,51.12468,0.01,0.01,0.16412606894779724,0.01,0.01,0.03152681864629602
241,Glastonbury,-2.718454,51.14743,0.01,0.01,0.19632722080336712,0.01,0.01,0.03636654804279691
242,Hereford,-2.715974,52.0564,0.01,0.01,0.3421210573632851,0.01,0.01,0.02864556765783944
243,Ludlow,-2.7139129,52.36775,0.01,0.01,0.23816354273660467,0.01,0.01,0.020965735884067305
244,Preston,-2.70309,53.7632,0.01,0.1787207964842696,0.4117031271122742,0.01,0.01,0.03833402551250262
245,Whitchurch,-2.682045,52.96872,0.01,0.01,0.19912577958835592,0.01,0.01,0.018081832254016807
246,Wells,-2.6445979,51.20935,0.01,0.01,0.2350275689269126,0.01,0.01,0.01
247,Yeovil,-2.633308,50.94206,0.01,0.01,0.28898764416315237,0.01,0.01,0.05029311119302166
248,Wigan,-2.6325074,53.54506,0.2475706713607355,0.10735512371349934,0.4628553845928826,0.01,0.01,0.01
249,Warrington,-2.5969501,53.39004,0.2555795430425223,0.11082804482114929,0.4793050546460329,0.01,0.01,0.01
250,Arbroath,-2.591543,56.55911,0.01,0.26459181996348125,0.1670354983119346,0.01,0.01,0.01
251,Bristol,-2.58791,51.45451,0.01,0.01,0.6058881980810439,0.01,0.01,0.01
252,Guernsey,-2.5852779999999997,49.46569,0.01,0.01,0.032214844559265245,0.01,0.01,0.011700986537399686
253,Ross-on-Wye,-2.582446,51.91445,0.01,0.01,0.2756250146109931,0.01,0.01,0.01
