index,placename,longitude,latitude,'ee,du,tha,thee,thou,ye,you
199,Edinburgh,-3.1882669999999997,55.95325,0.01,0.01,0.07124886881391114,0.01,0.01,0.9155738824035328,0.427286277057947
200,Cardiff,-3.17909,51.48158,0.01,0.01,0.01,0.01,0.2570637346173639,0.01,0.9467537413647364
201,Llangollen,-3.1716599999999997,52.96921,0.01,0.01,0.044858452681858285,0.01,0.01,0.1601243343513011,0.7905655173491392
202,Kirkcaldy,-3.158137,56.11682,0.01,0.01,0.06976103464184741,0.01,0.01,0.8964546720642514,0.40540231038770447
203,Welshpool,-3.146407,52.66035,0.01,0.01,0.01,0.3872700516113726,0.16381124273189218,0.19392108272443306,0.7480883970148083
204,Mold,-3.1419029999999997,53.1672,0.01,0.01,0.045946431999948995,0.01,0.01,0.16400792715671486,0.8247934403192236
205,Mold,-3.1419029999999997,53.1672,0.01,0.01,0.045946431999948995,0.01,0.01,0.16400792715671486,0.8247934403192236
206,Taunton,-3.106849,51.01534,0.01,0.01,0.01,0.01,0.2504480566089838,0.01,0.9064148278499693
207,Wick,-3.093716,58.43894,0.01,0.9967157143527741,0.06751369901538007,0.01,0.01,0.7711783187752574,0.372347136047783
208,John o' Groats,-3.0688997000000002,58.63734,0.01,0.9467079431568179,0.06412636442805882,0.01,0.01,0.7324863343294844,0.3225241661215873
209,Dalkeith,-3.066606,55.893119999999996,0.01,0.01,0.0691947108021374,0.01,0.01,0.8891772047128018,0.3970724761457696
210,Oswestry,-3.056412,52.85715,0.01,0.01,0.04570229086603,0.01,0.01,0.163136454018,0.8171127392372645
211,Blackpool,-3.0356748,53.81751,0.01,0.01,0.5136983716710243,0.599225085962518,0.16897731202378377,0.06667889653457415,0.4287297880316801
212,Birkenhead,-3.023009,53.389990000000004,0.01,0.01,0.3265716393613695,0.01,0.01,0.16653035057069232,0.6182906299399878
213,Cupar,-3.010137,56.32023,0.01,0.01,0.06772760820595047,0.01,0.01,0.8703244026650463,0.37549344205741597
214,Southport,-3.010113,53.64571,0.01,0.01,0.4399163301556847,0.01,0.16755575977342768,0.06611794823752322,0.5334199845257984
215,Bridgwater,-3.003632,51.12789,0.01,0.01,0.01,0.01,0.2521310154384658,0.01,0.9166766227235097
216,Langholm,-2.998913,55.153059999999996,0.3799485375542984,0.01,0.11111873292765816,0.01,0.6433099093824947,0.6346294743957399,0.2691557503622845
217,Newport,-2.997664,51.58415,0.01,0.01,0.01,0.01,0.25309938922715813,0.01,0.9225812550926402
218,Axminster,-2.9949369999999997,50.78273,0.01,0.01,0.01,0.01,0.24643282220337803,0.01,0.881932047215229
