placename,past_participle,present_participle,longitude,latitude
Boston,0.58068182,0.4193182, -0.0265770,52.97894
Royston,0.35775047,0.6422495, -0.0240660,52.04814
Louth_Lincs,0.74931129,0.2506887, -0.0077110,53.36596
Lewes,0.27611940,0.7238806,  0.0087800,50.87387
Chatteris,0.39883268,0.6011673,  0.0540120,52.45610
Uckfield,0.25139665,0.7486034,  0.0959130,50.96641
Cambridge,0.37033300,0.6296670,  0.1218170,52.20534
Bishop's Stortford,0.29632063,0.7036794,  0.1536502,51.87216
Wisbech,0.42307692,0.5769231,  0.1587970,52.66632
Sevenoaks,0.23822342,0.7617766,  0.1908980,51.27241
Tunbridge Wells,0.21142857,0.7885714,  0.2636950,51.13238
Eastbourne,0.26933333,0.7306667,  0.2904720,50.76803
Brentwood,0.23412146,0.7658785,  0.3071749,51.62047
Skegness,0.59583333,0.4041667,  0.3378810,53.14640
Downham Market,0.35951941,0.6404806,  0.3854720,52.60661
King's Lynn,0.39647577,0.6035242,  0.4022963,52.75168
Bexhill,0.27412281,0.7258772,  0.4662071,50.84991
Chelmsford,0.25890484,0.7410952,  0.4685497,51.73559
Mildenhall,0.35272045,0.6472795,  0.5156095,52.34757
Medway,0.26254376,0.7374562,  0.5417861,51.40474
Braintree,0.29534247,0.7046575,  0.5509269,51.88009
Gillingham,0.26564345,0.7343566,  0.5514380,51.38632
Hastings,0.28571429,0.7142857,  0.5734530,50.85426
Maldon,0.29627741,0.7037226,  0.6714480,51.73181
Southend,0.25549585,0.7445042,  0.7077123,51.54593
Bury St Edmunds,0.34256927,0.6574307,  0.7104932,52.24292
Thetford,0.33995416,0.6600458,  0.7516570,52.41286
Ashford,0.28013029,0.7198697,  0.8750190,51.14647
Faversham,0.28331584,0.7166842,  0.8893580,51.31599
Colchester,0.33736762,0.6626324,  0.8918740,51.89593
New Romney,0.28173375,0.7182663,  0.9394730,50.98512
Canterbury,0.27806385,0.7219361,  1.0789089,51.28023
Ipswich,0.35792019,0.6420798,  1.1482200,52.05674
Clacton,0.33141210,0.6685879,  1.1530350,51.78953
Folkestone,0.28164557,0.7183544,  1.1694560,51.08140
Sheringham,0.40074906,0.5992509,  1.2109589,52.94442
Harwich,0.32655827,0.6734417,  1.2602970,51.93473
Norwich,0.36151603,0.6384840,  1.2973550,52.63089
Cromer,0.40520446,0.5947955,  1.3018660,52.93145
Dover,0.27706058,0.7229394,  1.3134027,51.12788
Felixstowe,0.35994587,0.6400541,  1.3512550,51.96173
Margate,0.29892142,0.7010786,  1.3868339,51.38965
Ramsgate,0.29477994,0.7052201,  1.4198950,51.33555
