placename,past participle,present participle,longitude,latitude
Cambridge,0.16093117,0.8390688,  0.1218170,52.20534
Bishop's Stortford,0.17080745,0.8291925,  0.1536502,51.87216
Wisbech,0.19056785,0.8094321,  0.1587970,52.66632
Sevenoaks,0.17987152,0.8201285,  0.1908980,51.27241
Tunbridge Wells,0.17978848,0.8202115,  0.2636950,51.13238
Eastbourne,0.18391960,0.8160804,  0.2904720,50.76803
Brentwood,0.17978848,0.8202115,  0.3071749,51.62047
Skegness,0.12861137,0.8713886,  0.3378810,53.14640
Downham Market,0.16696589,0.8330341,  0.3854720,52.60661
King's Lynn,0.15614334,0.8438567,  0.4022963,52.75168
Bexhill,0.18061224,0.8193878,  0.4662071,50.84991
Chelmsford,0.15736607,0.8426339,  0.4685497,51.73559
Mildenhall,0.15638575,0.8436142,  0.5156095,52.34757
Medway,0.13664596,0.8633540,  0.5417861,51.40474
Braintree,0.15709459,0.8429054,  0.5509269,51.88009
Gillingham,0.13750000,0.8625000,  0.5514380,51.38632
Hastings,0.17395727,0.8260427,  0.5734530,50.85426
Maldon,0.13968254,0.8603175,  0.6714480,51.73180
Southend,0.15312500,0.8468750,  0.7077123,51.54593
Bury St Edmunds,0.14210526,0.8578947,  0.7104932,52.24292
Thetford,0.15499124,0.8450088,  0.7516570,52.41286
Ashford,0.15243902,0.8475610,  0.8750190,51.14647
Faversham,0.15820896,0.8417910,  0.8893580,51.31599
Colchester,0.15028902,0.8497110,  0.8918740,51.89593
New Romney,0.16049383,0.8395062,  0.9394730,50.98512
Canterbury,0.16320475,0.8367953,  1.0789089,51.28023
Ipswich,0.13544018,0.8645598,  1.1482200,52.05674
Clacton,0.14555256,0.8544474,  1.1530350,51.78953
Folkestone,0.16099071,0.8390093,  1.1694560,51.08140
Sheringham,0.13865546,0.8613445,  1.2109589,52.94442
Harwich,0.13684211,0.8631579,  1.2602970,51.93473
Norwich,0.15534805,0.8446520,  1.2973550,52.63089
Cromer,0.13865546,0.8613445,  1.3018660,52.93145
Dover,0.16250000,0.8375000,  1.3134027,51.12788
Felixstowe,0.12690355,0.8730964,  1.3512550,51.96173
Margate,0.15976331,0.8402367,  1.3868339,51.38965
Ramsgate,0.17159763,0.8284024,  1.4198950,51.33555
Great Yarmouth,0.14360313,0.8563969,  1.7280470,52.59823
Lowestoft,0.14393939,0.8560606,  1.7534490,52.48114
Swaffham,0.15534805,0.8446520,  0.6874810,52.64747
Dereham,0.15025467,0.8497453,  0.9378270,52.68162
Ely,0.17554859,0.8244514,  0.2623630,52.39954
March,0.18518519,0.8148148,  0.0886220,52.55172
St Neots,0.16981132,0.8301887, -0.2651030,52.23008
Banham,0.15052817,0.8494718,  1.0402849,52.45125
Holt,0.13865546,0.8613445,  1.0867470,52.90936
Hunstanton,0.13872832,0.8612717,  0.4910320,52.93891
Horncastle,0.14185639,0.8581436, -0.1124500,53.20731
