,placename,adj_fuck_off,fuck_off,fuck_off_adj,longitude,latitude
199,Harrogate,0.7914271631560705,0.2674456411298515,0.06377425044091746,-1.5418120000000002,53.99211999999999
200,Hartlepool,0.8151269081324198,0.18284132318521226,0.133392356499926,-1.212926,54.691745
201,Harwich,0.29950723540476776,0.5184229313722866,0.6527836012112727,1.260297,51.934731
202,Hastings,0.4862134008414502,0.5742784380305609,0.2250099561927529,0.573453,50.854259000000006
203,Haverfordwest,0.7155417554065946,0.2906489669647578,0.17560217560217567,-4.971319,51.800475
204,Hawes,0.8045610401699685,0.20653410847918866,0.12130971551261338,-2.1968695,54.3038282
205,Hawick,0.6337007817297303,0.3860213555320094,0.20113644143219125,-2.780914,55.42706
206,Heathrow,0.5136410720474409,0.5992532005689898,0.1395061728395061,-0.4542955,51.4700223
207,Helensburgh,0.9175645596318588,0.11002364973950456,0.0385139740967959,-4.734014,56.002318
208,Helmsley,0.8712139013943437,0.11553846347512008,0.11851851851851933,-1.0562636,54.2465058
209,Helston,0.1633784720077155,0.7904868139627704,0.5419664268585135,-5.274996,50.101593
210,Hereford,0.5587113191334036,0.5716783257662846,0.0917300862506338,-2.715974,52.056398
211,Hexham,0.8036217133015233,0.1870074449021816,0.14947089947090056,-2.1121439,54.972665
212,High Wycombe,0.5158156444448467,0.5051326248849461,0.26259985475671865,-0.748229,51.628611
213,Holt,0.4674739981541266,0.4149156675472472,0.4757353359503885,1.086747,52.909359
214,Holyhead,0.7243669431202047,0.32612071795374875,0.11101286963355904,-4.633038,53.30944100000001
215,Horncastle,0.7459396241979181,0.2357610996449469,0.1924223073648351,-0.11245,53.20730699999999
216,Horsham,0.36018509617582256,0.6939416887542592,0.3010924593658399,-0.325858,51.062883
217,Hove,0.4441417382263467,0.6013177809388334,0.2678518518518517,-0.168749,50.8279319
218,Huddersfield,0.7085809653503814,0.3597893009358111,0.09529833438751796,-1.7850351000000002,53.64579200000001
219,Hull,0.8030796644634601,0.2032248231738896,0.1285771178244302,-0.3274198,53.7676236
220,Hunstanton,0.4868116487229242,0.3429068921059775,0.5365622032288686,0.491032,52.9389139
221,Huntingdon,0.3398140827484156,0.5498350534184798,0.5342789598108754,-0.182552,52.33146
222,Inchnadamph,0.9572538411182558,0.025758653390232592,0.07750342935528177,-4.974295,58.15220600000001
223,Invergarry,0.9666524167341632,0.01,0.09458045616237766,-4.800261,57.070951
224,Invergordon,0.9308483191497549,0.06635015056067782,0.07247073913740583,-4.172882,57.68810600000001
225,Inverness,0.9308483191497549,0.06635015056067782,0.07247073913740583,-4.224721,57.477773
226,Ipswich,0.25362434395761435,0.5710604014009586,0.6682228446934333,1.14822,52.056736
227,Irvine,0.8772490506763806,0.15372497399205914,0.055524844911246735,-4.6696364,55.6115669
228,Islay,0.9344086142466318,0.08020841657743069,0.04702455264253109,-6.177067,55.7362535
229,Isle of Man,0.7130027629096235,0.3319637776874616,0.12455908289241575,-4.5126331,54.2769661
230,Isle of Wight,0.3916475605529671,0.5940917496443809,0.3766666666666665,-1.304734,50.6938479
231,Isle of Wight,0.3916475605529671,0.5940917496443809,0.3766666666666665,-1.304734,50.6938479
232,Jedburgh,0.5553501550445796,0.4828878240121776,0.21806576115193474,-2.5549369,55.477721
233,Jersey,0.3679625093345134,0.6652226653518226,0.3252291145951673,-2.13125,49.214439
234,John o' Groats,0.9192732958210974,0.07957286774878829,0.07644173854219623,-3.0688997,58.6373368
235,Keighley,0.7746831462808291,0.31268184555236594,0.034234643641597284,-1.912358,53.867795
236,Kelso,0.5430850376397148,0.4916808867782183,0.2293252156265859,-2.432207,55.600029000000006
237,Kendal,0.6533271144944504,0.4424599117259418,0.08783179822004597,-2.74629,54.32800600000001
238,Keswick,0.7089266663966789,0.3586720733248752,0.09615589167570704,-3.134706,54.601276
239,Kettering,0.3782964048998022,0.7208245653221722,0.2305887154372014,-0.7302489999999999,52.396322
240,Kidderminster,0.6300242924466399,0.4396433268979145,0.13560745841021224,-2.2496839,52.388596
241,Kildare,0.935924692450433,0.09884637946063396,0.01897612870181362,-6.8194708,53.2120434
242,Kilkeel,0.9039806235178616,0.12857946689550262,0.039068239768356286,-6.007004,54.0631154
243,Kilkenny,0.8998162389406741,0.13568909501283907,0.03731774574396191,-7.2447879,52.6541454
244,Killarney,0.8231686581353491,0.24159050662810186,0.038823610252182686,-9.5044265,52.05993529999999
245,Kilmarnock,0.8925213167988505,0.138642706664026,0.04709069125384258,-4.498792,55.614719
246,King's Lynn,0.3750984549155116,0.4231850148229877,0.6388600438444659,0.4022963,52.7516798
247,Kingsbridge,0.12750367999127546,0.8347208522390999,0.5498783454987833,-3.777493,50.283948
248,Kirkcaldy,0.6533879111400221,0.38074884711664,0.17111489683891734,-3.158137,56.1168249
249,Kirkwall,0.9192732958210974,0.07957286774878829,0.07644173854219623,-2.9622491,58.984674
250,Kyle of Lochalsh,0.9363590367779634,0.040470035252645684,0.0970477724100907,-5.7143293,57.28260649999999
251,Lairg,0.9308483191497549,0.06635015056067782,0.07247073913740583,-4.402414,58.022058
252,Lampeter,0.6999294407585515,0.32093967032047666,0.16412490922294914,-4.078509,52.112903
253,Lancaster,0.5335531420290638,0.6400014973422167,0.046866575422005965,-2.8007399,54.046575
254,Langholm,0.8678591467448941,0.09530790120263892,0.15218855218855334,-2.998913,55.153062
255,Laois,0.8928718381164048,0.1445934040341411,0.038387389912270836,-7.3323006999999985,52.994295
256,Launceston,0.08742488215587403,0.8573257467994304,0.5949527959331875,-4.360451599999998,50.636834
257,Leamington Spa,0.5912008208882535,0.43226508241988015,0.2188332122972656,-1.5200789,52.28519050000001
258,Leeds,0.7663549036082736,0.3045146095189241,0.06098630506645144,-1.5490774,53.8007554
259,Leicester,0.5551431752299599,0.3631629836597108,0.38025532630870623,-1.1397592,52.63687779999999
260,Leitrim,0.9418062302836566,0.10467613070373737,0.01,-8.0020132,54.1246909
261,Lewes,0.4150604566983704,0.702482219061166,0.1860082304526757,0.00878,50.873872
262,Limerick,0.8216825265567731,0.2435315827918968,0.039004521763144034,-8.6267343,52.66383670000001
263,Lincoln,0.6592486646166031,0.3306470810230202,0.22776518014613384,-0.540579,53.230688
264,Liskeard,0.10917060612993326,0.8269642707723199,0.5949527959331875,-4.4647190000000005,50.45552
265,Liverpool,0.7499172089799374,0.2297515088168853,0.19303865043775428,-2.9915726,53.40837140000001
266,Livingston,0.7045152737054612,0.2885127877609078,0.19929453262786745,-3.518068,55.900708
267,Llandeilo,0.7609818685482641,0.2294379023624825,0.1725849560901112,-3.99143,51.88469
268,Llandrindod Wells,0.6622985425339376,0.4509987591174599,0.059364328867875335,-3.377742,52.2417
269,Llandudno,0.7196041434017477,0.2781318749282134,0.18485289982874675,-3.827609,53.324061
270,Llandudno,0.7196041434017477,0.2781318749282134,0.18485289982874675,-3.827609,53.324061
271,Llanelli,0.7543190953603367,0.2365078733499784,0.17560217560217567,-4.160248,51.680886
272,Llangefni,0.7227735984017178,0.2618035020846265,0.20093912366980546,-4.311401999999998,53.255785
273,Llangollen,0.713517446812399,0.38142247510668603,0.05674827369742772,-3.17166,52.96921500000001
274,Llanidloes,0.6110501446915476,0.5234969985873954,0.058087233659753136,-3.540195,52.447794
275,Lochgilphead,0.9261607246986528,0.09991884662419333,0.03595005169808217,-5.4323449,56.03829200000001
276,Lockerbie,0.9211359432532946,0.06234365036542928,0.09621115368241896,-3.349008,55.12224499999999
277,London,0.2672196786033522,0.7771705698058665,0.3640280672082801,-0.12775830000000002,51.5073509
