,placename,what_for,why,why_for_continuous,why_for_discontinuous,longitude,latitude
230,Penrith,0.6296905284184574,0.9316615,0.01,0.5885625028803273,-2.752708,54.6641
231,Kendal,0.7029526776721382,0.9316615,0.36191198839566235,0.3139909847971895,-2.74629,54.32801
232,Street,0.5090945194933991,0.9316615,0.21760378163231864,0.3630591047588324,-2.7429189999999997,51.12468
233,Glastonbury,0.5046798052417982,0.9316615,0.2067362725700783,0.37252147837893407,-2.718454,51.14743
234,Hereford,0.7986301335186673,0.9316615,0.01,0.34297776764001053,-2.715974,52.0564
235,Ludlow,0.9280440391372745,0.9316615,0.01,0.537384515493502,-2.7139129,52.36775
236,Preston,0.49509321499259007,0.9316615,0.01,0.39421998078600146,-2.70309,53.7632
237,Whitchurch,0.6381503764854589,0.9316615,0.2029777358281296,0.24721915479676412,-2.682045,52.96872
238,Wells,0.6463922452236511,0.9316615,0.01,0.2866826572835943,-2.6445979,51.20935
239,Yeovil,0.5473022175107436,0.9316615,0.4073381491631471,0.35340225365668626,-2.633308,50.94206
240,Wigan,0.42147273584871164,0.9316615,0.01,0.5637004040877605,-2.6325074,53.54506
241,Warrington,0.5274832556717518,0.9316615,0.01,0.4538878436008877,-2.5969501,53.39004
242,Arbroath,0.5232372996101967,0.9316615,0.01,0.18919097367469492,-2.591543,56.55911
243,Bristol,0.6752932103236137,0.9316615,0.01,0.2905512968562779,-2.58791,51.45451
244,Guernsey,0.7041190780290056,0.9316615,0.10489558305257761,0.29402031871486006,-2.5852779999999997,49.46569
245,Ross-on-Wye,0.5015198081331884,0.9316615,0.34754825776893433,0.371112832168204,-2.582446,51.91445
246,Jedburgh,0.6904066312968251,0.9316615,0.01,0.28903195191360076,-2.5549369,55.47772
247,Sedbergh,0.6615315424526697,0.9316615,0.4032121664443542,0.3901867471267628,-2.5281740000000004,54.32363
248,Nantwich,0.45148637994837687,0.9316615,0.01,0.277709745432244,-2.524102,53.06718000000001
249,Banff,0.31416812197166943,0.9316615,0.01,0.17068215677133922,-2.524038,57.666509999999995
250,Dunbar,0.579014412793221,0.9316615,0.01,0.13966820513070483,-2.516737,56.00209
251,Cinderford,0.48389245265559294,0.9316615,0.45468390149636956,0.37930664318682955,-2.5009579,51.8253
252,Banchory,0.3943116676881226,0.9316615,0.01,0.2003016145785328,-2.4909599,57.05386
253,Blackburn,0.49228198481007523,0.9316615,0.10779661212955727,0.3597045759094744,-2.487529,53.748580000000004
254,Market Drayton,0.6010263873118592,0.9316615,0.01,0.3686953790244819,-2.483485,52.90355
255,Telford,0.7163352021427789,0.9316615,0.01,0.47003808789695345,-2.4672611,52.67759
256,Montrose,0.4375036388484729,0.9316615,0.01,0.14647868358408428,-2.4661150000000003,56.70692
257,Turriff,0.3225652482447039,0.9316615,0.01,0.16624254770708222,-2.4623,57.53893000000001
258,Weymouth,0.7485891112153037,0.9316615,0.1468538937384082,0.28421978359436484,-2.457621,50.61443
259,Crewe,0.47969093625075,0.9316615,0.01,0.269896331482243,-2.4438209,53.1004
260,Fortuneswell,0.7462279028729113,0.9316615,0.143696096516935,0.27810822763270776,-2.4422189999999997,50.55919
261,Dorchester,0.762594634670864,0.9316615,0.14704120639030926,0.28458234479024125,-2.4411810000000003,50.71116
262,Alston,0.6902294351972769,0.9316615,0.01,0.7777722263777714,-2.438685,54.812169999999995
263,Kelso,0.6561228424616983,0.9316615,0.01,0.23345722802620475,-2.432207,55.600030000000004
264,Wincanton,0.7180601921086983,0.9316615,0.2861664509110614,0.40105956716214197,-2.416007,51.055690000000006
265,Clitheroe,0.46547559011223255,0.9316615,0.1262876257770705,0.32026926739540423,-2.3930830000000003,53.8711
266,Sark,0.7167883178830524,0.9316615,0.1248514560594965,0.28329791269329213,-2.3666256000000003,49.43007
267,Bath,0.6791583354029651,0.9316615,0.01,0.34214535305722366,-2.3590167,51.38106
268,Kidderminster,0.7176273273512305,0.9316615,0.09589435317438784,0.7055738874846678,-2.2496839,52.3886
269,Manchester,0.5260451546289107,0.9316615,0.05546380049859388,0.34905365185617154,-2.2426305,53.48076
270,Burnley,0.4354051307552519,0.9316615,0.1633960451923554,0.3816633325032082,-2.2405035,53.78929
271,Gloucester,0.5078926799166222,0.9316615,0.2816164452457563,0.3664911531855533,-2.238156,51.86424
272,Newcastle-under-Lyme,0.573537928262581,0.9316615,0.01,0.3156663936264118,-2.2273002,53.01321
273,Worcester,0.6388729428025053,0.9316615,0.01,0.8319927810135916,-2.221575,52.19364
274,Trowbridge,0.6326086387880012,0.9316615,0.01,0.4818028954379161,-2.208853,51.31966
275,Shaftesbury,0.6641953904825444,0.9316615,0.5397752350541387,0.2701749477552945,-2.198083,51.0046
276,Alderney,0.6888852762135612,0.9316615,0.23859667314415334,0.30254420416114236,-2.1973557,49.715
277,Stoke-on-Trent,0.6009940419921004,0.9316615,0.01,0.3154865947352935,-2.179404,53.002669999999995
