,placename,'ee,deesel,thasel,thaself,thaseln,thasels,thasen,theesel,theeself,theeseln,theesels,theesen,thysen,yesel,yeself,you,yoursel,yourself,yourselfs,yourseln,yoursels,yourselt,yourselve,yourselves,yoursen,longitude,latitude
81,Ullapool,0.01,0.01,0.2146001437855325,0.01,0.01,0.01,0.18852722925158344,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.7019704430700211,0.208303914963585,0.01,0.01,0.40000000232000005,1.0,0.01,0.01,0.01,-5.161313,57.895419999999994
82,Ballachulish,0.01,0.01,0.2146001437855325,0.01,0.01,0.01,0.18852722925158344,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.7389162551864884,0.14496833836476247,0.01,0.01,0.59999999768,1.0,0.01,0.01,0.01,-5.133719999999999,56.673930000000006
83,Fort William,0.01,0.01,0.2146001437855325,0.01,0.01,0.01,0.18852722925158344,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.7389162551864884,0.14496833836476247,0.01,0.01,0.59999999768,1.0,0.01,0.01,0.01,-5.1052179,56.81981999999999
84,Achnasheen,0.01,0.01,0.2146001437855325,0.01,0.01,0.01,0.18852722925158344,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5541871924612948,0.271639675235892,0.01,0.01,0.7999999930400001,1.0,0.01,0.01,0.01,-5.078765799999999,57.578590000000005
85,Newquay,1.0,0.01,0.01,0.18181818033057856,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02380952355442177,0.8367346601416048,0.01,1.0,0.19333333619466667,0.01,0.01,0.01,0.01,-5.0737190000000005,50.4155
86,Falmouth,1.0,0.01,0.01,0.18181818033057856,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02380952355442177,0.8367346601416048,0.01,1.0,0.19333333619466667,0.01,0.01,0.01,0.01,-5.066269999999999,50.152570000000004
87,Rothesay,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.8928571429336735,0.08163257809245544,0.01,0.01,0.5799999969840001,0.9666665313333388,0.01,0.01,0.01,-5.055793,55.83596
88,Truro,1.0,0.01,0.01,0.18181818033057856,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02380952355442177,0.8367346601416048,0.01,1.0,0.19333333619466667,0.01,0.01,0.01,0.01,-5.051041000000001,50.2632
89,Milford Haven,0.01,0.01,0.01,0.18181818033057856,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02380952355442177,0.9591837109537724,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-5.0426971,51.71431
90,Stranraer,0.01,0.01,0.41489361463784513,0.01,0.01,0.01,0.01,0.66666666,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.9285714271938774,0.08163257809245544,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-5.024055000000001,54.903369999999995
91,Fishguard,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-4.975989,51.99393
92,Inchnadamph,0.01,0.01,0.2146001437855325,0.01,0.01,0.01,0.18852722925158344,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.7758620694458127,0.208303914963585,0.01,0.01,0.40000000232000005,0.01,0.01,0.01,0.01,-4.974295,58.15221
93,Haverfordwest,0.01,0.01,0.01,0.18181818033057856,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02380952355442177,0.9591837109537724,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-4.971319,51.80048
94,Dunoon,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.8928571429336735,0.08163257809245544,0.01,0.01,0.5799999969840001,0.9666665313333388,0.01,0.01,0.01,-4.926214,55.95097
95,Pembroke,0.01,0.01,0.01,0.18181818033057856,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02380952355442177,0.9591837109537724,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-4.908637000000001,51.674040000000005
96,Girvan,0.01,0.01,0.41489361463784513,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.9285714271938774,0.11224488671386845,0.01,0.01,0.19333333619466667,0.01,0.01,0.01,0.01,-4.8542179,55.240159999999996
97,Wadebridge,1.0,0.01,0.01,0.18181818033057856,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02380952355442177,0.8367346601416048,0.01,1.0,0.19333333619466667,0.01,0.01,0.01,0.01,-4.836456,50.51665
98,Invergarry,0.01,0.01,0.2146001437855325,0.01,0.01,0.01,0.18852722925158344,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.48029556608550317,0.36664313197086795,0.01,0.01,0.59999999768,1.0,0.01,0.01,0.01,-4.800261,57.07095
