placename,where_is_x,where_is_x_at,where_to_is_x,where_x_to,longitude,latitude
Warrington,0.9885234,0.0114765632,0.00000000000,0.00000000000, -2.5969501,53.39004
Arbroath,0.9984522,0.0015477880,0.00000000000,0.00000000000, -2.5915430,56.55911
Bristol,0.9884337,0.0055809439,0.00008088325,0.00590447689, -2.5879100,51.45451
Guernsey,0.9961909,0.0025394138,0.00000000000,0.00126970691, -2.5852780,49.46569
Ross-on-Wye,0.9928255,0.0064570130,0.00000000000,0.00071744589, -2.5824460,51.91445
Jedburgh,0.9957502,0.0042497934,0.00000000000,0.00000000000, -2.5549369,55.47772
Sedbergh,0.9885722,0.0114277652,0.00000000000,0.00000000000, -2.5281740,54.32363
Sedbergh,0.9885722,0.0114277652,0.00000000000,0.00000000000, -2.5281740,54.32363
Nantwich,0.9903457,0.0096542981,0.00000000000,0.00000000000, -2.5241020,53.06719
Banff,0.9936500,0.0063499530,0.00000000000,0.00000000000, -2.5240380,57.66651
Dunbar,0.9976717,0.0023282887,0.00000000000,0.00000000000, -2.5167370,56.00209
Cinderford,0.9920435,0.0071608540,0.00000000000,0.00079565044, -2.5009579,51.82530
Banchory,0.9962339,0.0037660843,0.00000000000,0.00000000000, -2.4909599,57.05386
Blackburn,0.9885302,0.0114697629,0.00000000000,0.00000000000, -2.4875290,53.74858
Market Drayton,0.9910426,0.0089574203,0.00000000000,0.00000000000, -2.4834850,52.90355
Telford,0.9885496,0.0107116474,0.00000000000,0.00073873430, -2.4672611,52.67759
Montrose,0.9966777,0.0033222591,0.00000000000,0.00000000000, -2.4661150,56.70692
Turriff,0.9934790,0.0065209930,0.00000000000,0.00000000000, -2.4623000,57.53893
Weymouth,0.9924242,0.0059808612,0.00000000000,0.00159489633, -2.4576210,50.61443
Crewe,0.9907274,0.0092726457,0.00000000000,0.00000000000, -2.4438209,53.10041
Fortuneswell,0.9941116,0.0043522785,0.00000000000,0.00153609831, -2.4422190,50.55919
Dorchester,0.9940429,0.0043685465,0.00000000000,0.00158856235, -2.4411810,50.71116
Alston,0.9887793,0.0112207459,0.00000000000,0.00000000000, -2.4386850,54.81217
Kelso,0.9951215,0.0048785446,0.00000000000,0.00000000000, -2.4322070,55.60003
Wincanton,0.9948435,0.0022099448,0.00000000000,0.00294659300, -2.4160070,51.05569
Clitheroe,0.9875155,0.0124844641,0.00000000000,0.00000000000, -2.3930830,53.87110
Sark,0.9954924,0.0028684606,0.00000000000,0.00163912034, -2.3666256,49.43007
Bath,0.9919443,0.0040278286,0.00036616624,0.00366166239, -2.3590167,51.38106
Kidderminster,0.9938055,0.0061945075,0.00000000000,0.00000000000, -2.2496839,52.38860
Manchester,0.9901046,0.0096461076,0.00000000000,0.00024925343, -2.2426305,53.48076
Burnley,0.9887361,0.0109118886,0.00035199641,0.00000000000, -2.2405035,53.78929
Gloucester,0.9929782,0.0070218144,0.00000000000,0.00000000000, -2.2381560,51.86424
Newcastle-under-Lyme,0.9923990,0.0076009501,0.00000000000,0.00000000000, -2.2273002,53.01321
Worcester,0.9960422,0.0039577836,0.00000000000,0.00000000000, -2.2215750,52.19364
Trowbridge,0.9924389,0.0049437767,0.00029081039,0.00232648313, -2.2088530,51.31966
Shaftesbury,0.9916936,0.0069220120,0.00000000000,0.00138440240, -2.1980830,51.00460
Alderney,0.9957790,0.0028880332,0.00000000000,0.00133293839, -2.1973557,49.71500
Stoke-on-Trent,0.9946827,0.0053173130,0.00000000000,0.00000000000, -2.1794040,53.00267
Colne,0.9882585,0.0113221563,0.00041933912,0.00000000000, -2.1769910,53.85564
Blandford Forum,0.9949002,0.0034893084,0.00000000000,0.00161045003, -2.1653530,50.85691
Rochdale,0.9928631,0.0068331892,0.00030369730,0.00000000000, -2.1561000,53.60971
Jersey,0.9957212,0.0031118314,0.00000000000,0.00116693679, -2.1312500,49.21444
Wolverhampton,0.9933811,0.0066188817,0.00000000000,0.00000000000, -2.1288200,52.58697
Stafford,0.9964143,0.0035857050,0.00000000000,0.00000000000, -2.1206600,52.80669
Macclesfield,0.9932089,0.0067910676,0.00000000000,0.00000000000, -2.1192870,53.25866
Hexham,0.9876089,0.0120038722,0.00000000000,0.00038722168, -2.1121439,54.97266
Aberdeen,0.9944450,0.0055549504,0.00000000000,0.00000000000, -2.0942780,57.14972
Dudley,0.9931947,0.0068052677,0.00000000000,0.00000000000, -2.0811120,52.51226
Cheltenham,0.9927945,0.0072054762,0.00000000000,0.00000000000, -2.0782533,51.89939
Bromsgrove,0.9927039,0.0072961373,0.00000000000,0.00000000000, -2.0619060,52.33559
Skipton,0.9889926,0.0110074071,0.00000000000,0.00000000000, -2.0162787,53.96285
Fraserburgh,0.9936320,0.0063680036,0.00000000000,0.00000000000, -2.0076310,57.69335
Berwick,0.9950182,0.0049818371,0.00000000000,0.00000000000, -2.0053950,55.77024
Poole,0.9956095,0.0028409091,0.00000000000,0.00154958678, -1.9872480,50.71505
Walsall,0.9931304,0.0068696264,0.00000000000,0.00000000000, -1.9829190,52.58621
Cirencester,0.9938201,0.0061798666,0.00000000000,0.00000000000, -1.9682430,51.71849
Evesham,0.9959379,0.0040620769,0.00000000000,0.00000000000, -1.9467700,52.09215
