placename,off,off_of,longitude,latitude
Shetland Islands,0.9856789,0.014321104, -1.2659409,60.52965
Rugby,0.9886833,0.011316688, -1.2650320,52.37088
Oxford,0.9814999,0.018500097, -1.2577263,51.75202
Middlesbrough,0.9923290,0.007670969, -1.2349560,54.57423
Hartlepool,0.9916582,0.008341801, -1.2129260,54.69174
Loughborough,0.9772188,0.022781182, -1.2061660,52.77210
Mansfield,0.9822257,0.017774267, -1.1986740,53.14720
Nottingham,0.9850089,0.014991117, -1.1581086,52.95478
Bicester,0.9792528,0.020747152, -1.1535899,51.89960
Leicester,0.9803645,0.019635456, -1.1397592,52.63688
Doncaster,0.9791990,0.020801044, -1.1284620,53.52282
Worksop,0.9791924,0.020807618, -1.1227450,53.30930
Basingstoke,0.9758652,0.024134849, -1.0923964,51.26654
Portsmouth,0.9712281,0.028771943, -1.0879769,50.81977
York,0.9887121,0.011287909, -1.0872979,53.95997
Selby,0.9922461,0.007753942, -1.0671890,53.78352
Helmsley,0.9859716,0.014028403, -1.0562636,54.24651
Towcester,0.9818074,0.018192575, -0.9896880,52.13511
Reading,0.9766388,0.023361240, -0.9781303,51.45426
Retford,0.9830269,0.016973126, -0.9455030,53.32136
Petersfield,0.9749592,0.025040775, -0.9389900,51.00759
Northampton,0.9812757,0.018724254, -0.9026560,52.24048
Melton Mowbray,0.9834646,0.016535433, -0.8871260,52.76640
Aylesbury,0.9842676,0.015732445, -0.8084000,51.81561
Newark-on-Trent,0.9856681,0.014331853, -0.8065700,53.07004
Malton,0.9899972,0.010002825, -0.7978970,54.13684
Chichester,0.9710728,0.028927167, -0.7749360,50.83761
Gainsborough,0.9881987,0.011801344, -0.7744650,53.40058
Milton Keynes,0.9747361,0.025263884, -0.7594171,52.04062
Aldershot,0.9845009,0.015499070, -0.7557509,51.24837
High Wycombe,0.9760343,0.023965737, -0.7482290,51.62861
Midhurst,0.9820026,0.017997382, -0.7372740,50.98690
Kettering,0.9746595,0.025340513, -0.7302490,52.39632
Wellingborough,0.9791176,0.020882425, -0.6939640,52.30242
Corby,0.9793243,0.020675676, -0.6842333,52.49230
Bognor Regis,0.9740618,0.025938174, -0.6730610,50.78300
Scunthorpe,0.9946756,0.005324394, -0.6544130,53.58865
Grantham,0.9835325,0.016467549, -0.6435820,52.91252
Whitby,0.9919827,0.008017298, -0.6133470,54.48633
Slough,0.9817662,0.018233822, -0.5950406,51.51054
Guildford,0.9828113,0.017188726, -0.5704090,51.23622
Woking,0.9830383,0.016961706, -0.5600349,51.31677
Lincoln,0.9891132,0.010886770, -0.5405790,53.23069
Bedford,0.9823129,0.017687075, -0.4667782,52.13864
Heathrow,0.9746390,0.025361043, -0.4542955,51.47002
Driffield,0.9914710,0.008528970, -0.4433770,54.00600
Beverley,0.9912802,0.008719760, -0.4350930,53.84196
Luton,0.9815490,0.018450967, -0.4200255,51.87867
Scarborough,0.9906716,0.009328358, -0.3997520,54.28311
Worthing,0.9787637,0.021236294, -0.3728820,50.81787
Dorking,0.9882687,0.011731301, -0.3323780,51.23220
Hull,0.9913614,0.008638639, -0.3274198,53.76762
Horsham,0.9773873,0.022612700, -0.3258580,51.06288
Biggleswade,0.9853247,0.014675271, -0.2642200,52.08694
Peterborough,0.9848744,0.015125640, -0.2405299,52.56950
Welwyn Garden City,0.9774719,0.022528102, -0.2086610,51.80317
Bridlington,0.9908669,0.009133149, -0.1988020,54.08535
Stevenage,0.9792440,0.020755961, -0.1966120,51.90376
Crawley,0.9751542,0.024845795, -0.1872275,51.10914
Huntingdon,0.9767334,0.023266636, -0.1825520,52.33146
Hove,0.9790056,0.020994384, -0.1687490,50.82793
Spalding,0.9864694,0.013530629, -0.1537024,52.79010
Brighton,0.9790024,0.020997570, -0.1371630,50.82253
London,0.9830315,0.016968472, -0.1277583,51.50735
Grimsby,0.9912716,0.008728361, -0.0807840,53.56747
Boston,0.9866402,0.013359832, -0.0265770,52.97894
Royston,0.9813247,0.018675299, -0.0240660,52.04814
Louth_Lincs,0.9901828,0.009817207, -0.0077110,53.36596
Lewes,0.9790736,0.020926395,  0.0087800,50.87387
Chatteris,0.9837154,0.016284632,  0.0540120,52.45610
Uckfield,0.9816725,0.018327497,  0.0959130,50.96641
Cambridge,0.9820736,0.017926422,  0.1218170,52.20534
Bishop's Stortford,0.9822885,0.017711489,  0.1536502,51.87216
Wisbech,0.9832416,0.016758429,  0.1587970,52.66632
Sevenoaks,0.9829736,0.017026411,  0.1908980,51.27241
Tunbridge Wells,0.9857160,0.014284007,  0.2636950,51.13238
