index,placename,longitude,latitude,where_is_x,where_is_x_at,where_to_is_x,where_x_about,where_x_to
143,Motherwell,-3.9810968,55.78321,0.3659194408213279,0.20428635440857643,0.06413780779376785,0.06353828853221512,0.01
144,Golspie,-3.976086,57.97341,0.01,0.037783384983533425,0.01,0.02492972583348832,0.01
145,Airdrie,-3.9625660000000003,55.86626999999999,0.3105507572258486,0.17523164810705316,0.05515566586911973,0.08196015889989079,0.01
146,Swansea,-3.9436459999999998,51.62144,0.4263037713143247,0.24580667529577116,0.7373564420302695,0.01,0.4031671711167191
147,Stirling,-3.9369029,56.116519999999994,0.33800199229235733,0.1620014611797893,0.01,0.7878719754991081,0.01
148,Tregaron,-3.934385,52.22,0.1344005319887437,0.07085727453264883,0.01,0.01,0.07813252935366634
149,Tregaron,-3.934385,52.22,0.1344005319887437,0.07085727453264883,0.01,0.01,0.07813252935366634
150,Castle Douglas,-3.9314139999999997,54.940419999999996,0.13569096889327392,0.2261917341773271,0.01,0.01,0.01
151,Dolgellau,-3.8844,52.74215,0.09704014484743788,0.06979427904781517,0.01,0.01,0.07728823842429812
152,Aberfeldy,-3.866969,56.62175,0.16839149545897045,0.08127540710407645,0.01,0.1585872842019381,0.01
153,Machynlleth,-3.853485,52.59027,0.12769214024986258,0.07415359955676716,0.01,0.01,0.16150143837489273
154,Brora,-3.8525480000000005,58.012159999999994,0.08428469558980603,0.11660402755003689,0.01,0.05023844636287897,0.01
155,Llandudno,-3.827609,53.324059999999996,0.23721837263481954,0.2047032058680208,0.01,0.01,0.01
156,Llandudno,-3.827609,53.324059999999996,0.23721837263481954,0.2047032058680208,0.01,0.01,0.01
157,Aviemore,-3.823812,57.19449,0.14726603603761965,0.14597671123811362,0.01,0.07727698611897281,0.01
158,Dalbeattie,-3.8225269999999996,54.934219999999996,0.09112257154684551,0.21380942115479232,0.01,0.03869695913644099,0.01
159,Falkirk,-3.7839131,56.00188000000001,0.33877363817405226,0.1637716267657599,0.01,0.7435926732279351,0.01
160,Kingsbridge,-3.777493,50.28395,0.17203145312065068,0.06546570842720384,0.01,0.01,0.1317327313848221
161,Pitlochry,-3.729711,56.70436,0.11310579640007638,0.025934713607404996,0.01,0.01,0.01
162,Colwyn Bay,-3.72764,53.29318000000001,0.21673540551346052,0.17115417085151377,0.01,0.01,0.01
163,Totnes,-3.685797,50.43374,0.18009717101671624,0.07176051716465133,0.01,0.01,0.14065126539567416
164,Grantown-on-Spey,-3.609628,57.33041,0.09558472419427608,0.0974389239277129,0.01,0.11131380623364676,0.01
165,Dumfries,-3.60512,55.070859999999996,0.2515897666920201,0.43818658459596155,0.01,0.07778825911503351,0.01
166,Whitehaven,-3.589233,54.5497,0.21280492993781394,0.5341216157097417,0.01,0.060040190860539855,0.01
167,Dartmouth,-3.578807,50.35252,0.14372103564563987,0.05728868480078184,0.01,0.01,0.12014744056938001
168,Bridgend,-3.576945,51.504290000000005,0.32183701299677914,0.1498242959310695,0.8832308159349451,0.01,0.422561523312118
169,Paignton,-3.564235,50.43508,0.2692136218182011,0.10238654581970455,0.01,0.01,0.1891548087392384
170,Workington,-3.5427519999999997,54.64357,0.20984456435711613,0.5073162583087266,0.01,0.06916285638024329,0.01
171,Llanidloes,-3.5401949999999998,52.447790000000005,0.10999891754382222,0.0659358651166196,0.01,0.01,0.09896481001114507
