placename,amnt,arent,longitude,latitude
Medway,0.0107142857,0.9892857,  0.5417861,51.40474
Braintree,0.0049833887,0.9950166,  0.5509269,51.88009
Gillingham,0.0107719928,0.9892280,  0.5514380,51.38632
Hastings,0.0000000000,1.0000000,  0.5734530,50.85426
Maldon,0.0052724077,0.9947276,  0.6714480,51.73181
Southend,0.0055045872,0.9944954,  0.7077123,51.54593
Bury St Edmunds,0.0045871560,0.9954128,  0.7104932,52.24292
Thetford,0.0051413882,0.9948586,  0.7516570,52.41286
Ashford,0.0054595086,0.9945405,  0.8750190,51.14647
Faversham,0.0056127222,0.9943873,  0.8893580,51.31599
