placename,past participle,present participle,longitude,latitude
Leeds,0.74541126,0.2545887, -1.5490774,53.80076
Harrogate,0.72729264,0.2727074, -1.5418120,53.99212
Leamington Spa,0.46097344,0.5390266, -1.5200789,52.28519
Coventry,0.44735650,0.5526435, -1.5196930,52.40682
Blyth,0.46411483,0.5358852, -1.5102770,55.12696
Wakefield,0.74484714,0.2551529, -1.5059240,53.68330
Andover,0.55097365,0.4490263, -1.4919233,51.21120
Witney,0.56907895,0.4309211, -1.4850544,51.78594
Barnsley,0.74155015,0.2584499, -1.4797260,53.55263
Derby,0.60008518,0.3999148, -1.4746186,52.92253
Sheffield,0.73338515,0.2666148, -1.4700850,53.38113
Nuneaton,0.46285237,0.5371476, -1.4653820,52.52049
Northallerton,0.67705213,0.3229479, -1.4299590,54.33796
South Shields,0.49695122,0.5030488, -1.4274060,54.99942
Chesterfield,0.68047855,0.3195214, -1.4216290,53.23505
Southampton,0.54288117,0.4571188, -1.4043509,50.90970
Wetherby,0.72557588,0.2744241, -1.3848160,53.92706
Sunderland,0.48982786,0.5101721, -1.3838010,54.90687
Rotherham,0.74583841,0.2541616, -1.3635009,53.43260
Castleford,0.76134355,0.2386565, -1.3459680,53.72347
Thirsk,0.72479084,0.2752092, -1.3413770,54.23385
Banbury,0.45041524,0.5495848, -1.3397750,52.06290
Stockton,0.58606942,0.4139306, -1.3289821,54.57046
Newbury,0.49156233,0.5084377, -1.3231139,51.40141
Isle of Wight,0.54994159,0.4500584, -1.3047340,50.69385
Isle of Wight,0.54994159,0.4500584, -1.3047340,50.69385
Abingdon,0.52794293,0.4720571, -1.2879529,51.67078
Shetland Islands,0.20107239,0.7989276, -1.2659409,60.52965
Rugby,0.44832910,0.5516709, -1.2650320,52.37088
Oxford,0.51382979,0.4861702, -1.2577263,51.75202
Middlesbrough,0.58254494,0.4174551, -1.2349560,54.57423
Hartlepool,0.56395614,0.4360439, -1.2129260,54.69174
Loughborough,0.57319459,0.4268054, -1.2061660,52.77210
Mansfield,0.66646078,0.3335392, -1.1986740,53.14720
Nottingham,0.58915835,0.4108417, -1.1581086,52.95478
Bicester,0.42366864,0.5763314, -1.1535899,51.89960
Leicester,0.54109691,0.4589031, -1.1397592,52.63688
Doncaster,0.75682819,0.2431718, -1.1284620,53.52282
Worksop,0.71311155,0.2868885, -1.1227450,53.30930
Basingstoke,0.44719372,0.5528063, -1.0923964,51.26654
Portsmouth,0.53263215,0.4673679, -1.0879769,50.81977
York,0.72353037,0.2764696, -1.0872979,53.95997
Selby,0.73057267,0.2694273, -1.0671890,53.78352
Helmsley,0.73940980,0.2605902, -1.0562636,54.24651
Towcester,0.42759295,0.5724070, -0.9896880,52.13511
Reading,0.42070773,0.5792923, -0.9781303,51.45426
Retford,0.70188075,0.2981192, -0.9455030,53.32136
Petersfield,0.50941993,0.4905801, -0.9389900,51.00759
Northampton,0.44647887,0.5535211, -0.9026560,52.24048
Melton Mowbray,0.57882535,0.4211747, -0.8871260,52.76640
Aylesbury,0.40133172,0.5986683, -0.8084000,51.81561
Newark-on-Trent,0.64770141,0.3522986, -0.8065700,53.07004
Malton,0.73769543,0.2623046, -0.7978970,54.13684
Chichester,0.45667794,0.5433221, -0.7749360,50.83761
