placename,Y needs X Ved,Y needs X Ving,longitude,latitude
Crawley,0.4608150,0.5391850, -0.1872275,51.10914
Huntingdon,0.3167513,0.6832487, -0.1825520,52.33146
Hove,0.4136808,0.5863192, -0.1687490,50.82793
Spalding,0.2810903,0.7189097, -0.1537024,52.79010
Brighton,0.4174757,0.5825243, -0.1371630,50.82253
London,0.4888535,0.5111465, -0.1277583,51.50735
Grimsby,0.2680412,0.7319588, -0.0807840,53.56747
Boston,0.2755842,0.7244158, -0.0265770,52.97894
Royston,0.4681093,0.5318907, -0.0240660,52.04814
Louth,0.2614679,0.7385321, -0.0077110,53.36596
Lewes,0.4585890,0.5414110,  0.0087800,50.87387
Chatteris,0.3069498,0.6930502,  0.0540120,52.45610
Uckfield,0.4597523,0.5402477,  0.0959130,50.96641
Cambridge,0.3727088,0.6272912,  0.1218170,52.20534
Bishop's Stortford,0.4720335,0.5279665,  0.1536502,51.87216
Wisbech,0.3078176,0.6921824,  0.1587970,52.66632
Sevenoaks,0.4812500,0.5187500,  0.1908980,51.27241
Tunbridge Wells,0.4589666,0.5410334,  0.2636950,51.13238
Eastbourne,0.4418605,0.5581395,  0.2904720,50.76803
Brentwood,0.5032362,0.4967638,  0.3071749,51.62047
Skegness,0.2987552,0.7012448,  0.3378810,53.14640
Downham Market,0.3240223,0.6759777,  0.3854720,52.60661
King's Lynn,0.3165829,0.6834171,  0.4022963,52.75168
Bexhill,0.4389439,0.5610561,  0.4662071,50.84991
Chelmsford,0.4991817,0.5008183,  0.4685497,51.73559
Mildenhall,0.3959391,0.6040609,  0.5156095,52.34757
Medway,0.4896989,0.5103011,  0.5417861,51.40474
Braintree,0.4910913,0.5089087,  0.5509269,51.88009
Gillingham,0.4896989,0.5103011,  0.5514380,51.38632
Hastings,0.4389439,0.5610561,  0.5734530,50.85426
Maldon,0.4872709,0.5127291,  0.6714480,51.73181
Southend,0.4929134,0.5070866,  0.7077123,51.54593
Bury St Edmunds,0.4159664,0.5840336,  0.7104932,52.24292
Thetford,0.3832461,0.6167539,  0.7516570,52.41286
Ashford,0.4767081,0.5232919,  0.8750190,51.14647
Faversham,0.4841772,0.5158228,  0.8893580,51.31599
Colchester,0.4773446,0.5226554,  0.8918740,51.89593
New Romney,0.4735099,0.5264901,  0.9394730,50.98512
Canterbury,0.4953811,0.5046189,  1.0789089,51.28023
Ipswich,0.4515464,0.5484536,  1.1482200,52.05674
Clacton,0.4706510,0.5293490,  1.1530350,51.78953
Folkestone,0.4640884,0.5359116,  1.1694560,51.08140
Sheringham,0.3349237,0.6650763,  1.2109589,52.94442
Harwich,0.4605809,0.5394191,  1.2602970,51.93473
Norwich,0.3738509,0.6261491,  1.2973550,52.63089
Cromer,0.3387560,0.6612440,  1.3018660,52.93145
Dover,0.4562363,0.5437637,  1.3134027,51.12788
Felixstowe,0.4605809,0.5394191,  1.3512550,51.96173
Margate,0.4821429,0.5178571,  1.3868339,51.38965
